"Dc_Dist","Psa","Dispatch_Date_Time","Dc_Key","Location_Block","UCR_General","Text_General_Code","Police_Districts","Lon","Lat"
15,"1","2011-05-15 16:58:00",201115048144,"4300 BLOCK CLOUD ST",1400,"Vandalism/Criminal Mischief",11,-75.085466,40.010122
16,"F","2006-08-22 00:18:00",200616039763,"3800 BLOCK SPRING GARDEN ST",2600,"All Other Offenses",12,-75.197275,39.962331
17,"L","2006-10-23 06:50:00",200617055978,"1600 BLOCK S MARSTON ST",2600,"All Other Offenses",13,-75.190926,39.932177
16,"F","2006-06-01 07:34:00",200616024616,"600 BLOCK N 39TH ST  / 3900 WALLACE ST",600,"Thefts",NA,NA,NA
25,"G","2008-02-14 10:39:00",200825015369,"2800 BLOCK N HOWARD ST",700,"Recovered Stolen Motor Vehicle",18,-75.131325,39.993706
17,"Q","2006-12-30 12:59:00",200617067285,"1200 BLOCK S 28TH ST",700,"Motor Vehicle Theft",13,-75.190218,39.937967
8,"N","2009-06-04 15:23:00",200908024218,"9200 BLOCK ASHTON RD",400,"Aggravated Assault No Firearm",7,-75.020848,40.064338
24,"2","2015-09-29 16:27:00",201524093777,"3000 BLOCK ELLA ST",1800,"Narcotic / Drug Law Violations",17,-75.127396,39.995156
2,"D","2007-07-31 23:09:00",200702051812,"7700 BLOCK CASTOR AV",2600,"All Other Offenses",2,-75.060318,40.057514
19,"2","2014-05-24 23:05:00",201419045553,"200 BLOCK N 59TH ST",2600,"All Other Offenses",15,-75.238174,39.964831
15,"1","2015-12-05 18:32:00",201515118799,"4700 BLOCK LEIPER ST",800,"Other Assaults",11,-75.085961,40.01837
3,"3","2015-12-27 07:45:00",201503079118,"1300 BLOCK S 07TH ST",600,"Theft from Vehicle",3,-75.15626,39.9319
26,"3","2012-09-14 17:31:00",201226048606,"2100 BLOCK E SUSQUEHANNA AV",600,"Thefts",19,-75.129681,39.979753
1,"1","2009-11-09 13:51:00",200901036689,"1900 BLOCK S 21ST ST",1800,"Narcotic / Drug Law Violations",1,-75.180891,39.927355
8,"1","2012-11-05 10:34:00",201208046101,"2900 BLOCK JENNY PL",600,"Theft from Vehicle",7,-75.025749,40.057972
15,"J","2008-11-02 18:24:00",200815124922,"6000 BLOCK HARBISON AV",1400,"Vandalism/Criminal Mischief",11,-75.063204,40.02205
35,"2","2012-11-26 12:31:00",201235091341,"5200 BLOCK N HOWARD ST",600,"Thefts",20,-75.123667,40.030526
12,"4","2012-05-02 23:32:00",201212031320,"S 1100 S 54TH ST",1800,"Narcotic / Drug Law Violations",NA,NA,NA
25,"1","2011-02-09 14:22:00",201125011790,"3900 BLOCK N 13TH ST",1800,"Narcotic / Drug Law Violations",18,-75.148427,40.012088
8,"3","2010-03-11 15:53:00",201008010047,"1900 BLOCK FRANKLIN MILLS CIR",2600,"All Other Offenses",7,-74.959817,40.095401
15,"1","2012-11-23 05:09:00",201215113394,"4900 BLOCK FRANKFORD AVE",2600,"All Other Offenses",11,-75.080722,40.020063
14,"2","2012-01-11 09:05:00",201214002480,"5600 BLOCK BAYNTON ST",600,"Theft from Vehicle",10,-75.170747,40.038165
15,"3","2015-01-14 00:02:00",201515003961,"3200 BLOCK RYAN AV",2600,"All Other Offenses",11,-75.043581,40.040571
